Individual	Location	Pasture	Parasitism	pop_para	pop_para_past
L87	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L88	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L89	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L90	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L91	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L92	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L93	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L94	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L95	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L96	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L97	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L98	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L99	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L100	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
I1	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I2	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I3	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I4	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I5	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I6	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I7	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I8	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I9	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I10	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I11	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I12	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I13	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I14	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I15	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I16	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I17	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I18	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I19	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I20	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I21	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I22	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I23	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I24	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I25	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I26	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I27	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I28	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I29	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I30	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I31	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I32	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I33	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I34	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I35	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I36	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I37	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I38	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I39	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I40	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I41	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I42	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I43	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I44	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I45	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I46	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I47	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I48	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I49	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I50	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I51	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I52	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I53	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I54	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I55	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I56	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I57	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I58	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I59	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I60	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I61	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I62	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
R1	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R2	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R3	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R4	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R5	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R6	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R7	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R8	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R9	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R10	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R11	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R12	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R13	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R14	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R15	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R16	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R17	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R18	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R19	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R20	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R21	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R22	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R23	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R24	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R25	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R26	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R27	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R28	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R29	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R30	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R31	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R32	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R33	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R34	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R35	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R36	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R37	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R38	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R39	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R40	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R41	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R42	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R43	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R44	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R45	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R46	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R47	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R48	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R49	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R50	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R51	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R52	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R53	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R54	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R55	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R56	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R57	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R58	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R59	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R60	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R61	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R62	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R63	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R64	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R65	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R66	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R67	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R68	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R69	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R70	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R71	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R72	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R73	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R74	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R75	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R76	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R77	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R78	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R79	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R80	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R81	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R82	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R83	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R84	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R85	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R86	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R87	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R88	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R89	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R90	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R91	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R92	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R93	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R94	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R95	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R96	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R97	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R98	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R99	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R100	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
